API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.27-12-ALB-QBTU.A,        Nuclear (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.29-12-ALB-QBTU.A,        Renewables (quad Btu),0.009960041,0.010297843,0.010553754,0.010806253,0.011058751,0.01131125,0.011481857,0.013576912,0.012669282,0.013123097,0.009622239,0.011884489,0.010874495,0.011195237,0.012737525,0.014201333,0.019343431,0.016985641,0.016623954,0.017848913,0.01551842,0.012007326,0.011864016,0.017459929,0.018463098,0.018149181,0.016893513,0.009417511,0.01282624,0.017746549,0.025821382,0.014101699,0.01612544,0.023748506,0.016122369,0.020117987,0.02656011,0.015443353,0.029184047,0.017763609,0.018129732,0.030583025,0.023891816,NA
INTL.33-12-ALB-QBTU.A,            Hydroelectricity (quad Btu),0.009960041,0.010297843,0.010553754,0.010806253,0.011058751,0.01131125,0.011481857,0.013576912,0.012669282,0.013123097,0.009622239,0.011884489,0.010874495,0.011195237,0.012737525,0.014201333,0.019343431,0.016985641,0.016623954,0.017848913,0.01551842,0.012007326,0.011864016,0.017459929,0.018463098,0.018149181,0.016893513,0.009417511,0.01282624,0.017746549,0.025819676,0.014098969,0.016122369,0.023745094,0.016118957,0.020114575,0.026553286,0.015439941,0.029180635,0.017688542,0.01801952,0.030443128,0.023745094,NA
INTL.34-12-ALB-QBTU.A,            Non-hydroelectric renewables (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70607E-06,2.72971E-06,3.07093E-06,3.41214E-06,3.41214E-06,3.41214E-06,6.82428E-06,3.41214E-06,3.41214E-06,7.50671E-05,0.000110212,0.000139898,0.000146722,NA
INTL.35-12-ALB-QBTU.A,                Geothermal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.36-12-ALB-QBTU.A,"                Solar, tide, wave, fuel cell (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70607E-06,2.72971E-06,3.07093E-06,3.41214E-06,3.41214E-06,3.41214E-06,6.82428E-06,3.41214E-06,3.41214E-06,7.50671E-05,0.000110212,0.000139898,0.000146722,NA
INTL.117-12-ALB-QBTU.A,                    Tide and wave (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.116-12-ALB-QBTU.A,                    Solar (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70607E-06,2.72971E-06,3.07093E-06,3.41214E-06,3.41214E-06,3.41214E-06,6.82428E-06,3.41214E-06,3.41214E-06,7.50671E-05,0.000110212,0.000139898,0.000146722,NA
INTL.37-12-ALB-QBTU.A,                Wind (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.38-12-ALB-QBTU.A,                Biomass and waste (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.2-3-ALB-QBTU.A,    Imports (quad Btu),0,0,0,0,0,0,0.00001706,0.000569804,0.000624396,0.0006824,0.001102076,0.0022178,0.000354848,0.000279784,0.000535684,0.0005118,0.0006824,0.002425932,0.003647428,0.003797556,0.0044356,0.0061416,0.0075064,0.004237704,0.001627524,0.001265852,0.002084732,0.009683256,0.008304808,0.00670458,0.00342906,0.0118567,0.01102076,0.007926076,0.011089,0.00803526,0.006233724,0.009944615,0.002901906,0.010838218,0.011051468,0.007683824,0.010386128,NA
INTL.2-4-ALB-QBTU.A,    Exports (quad Btu),0.001706,0.0017913,0.0018766,0.0019619,0.0020472,0.001989196,0.00214956,0.0027296,0.00250782,0.002152972,0.000402616,0.004428776,0.00191072,0.000481092,0.00052886,0.000252488,0.00129656,0.002862668,0.00235428,0.00257606,0.000757464,0.000235428,0.000197896,0.001112312,0,0,0,0,0,0.001661644,0.01001422,0,0,0,0.000624396,0.003261872,0.000143304,0,0.006018768,0.002628946,0.003285756,0.0095536,0.007243676,NA
INTL.2-23-ALB-QBTU.A,    Net imports (quad Btu),-0.001706,-0.0017913,-0.0018766,-0.0019619,-0.0020472,-0.001989196,-0.0021325,-0.002159796,-0.001883424,-0.001470572,0.00069946,-0.002210976,-0.001555872,-0.000201308,0.000006824,0.000259312,-0.00061416,-0.000436736,0.001293148,0.001221496,0.003678136,0.005906172,0.007308504,0.003125392,0.001627524,0.001265852,0.002084732,0.009683256,0.008304808,0.005042936,-0.00658516,0.0118567,0.01102076,0.007926076,0.010464604,0.004773388,0.00609042,0.009944615,-0.003116862,0.008209272,0.007765712,-0.001869776,0.003142452,NA
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.27-12-DZA-QBTU.A,        Nuclear (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.29-12-DZA-QBTU.A,        Renewables (quad Btu),0.000846211,0.001235195,0.001617355,0.000795029,0.001760665,0.002180359,0.000842799,0.001675362,0.000617598,0.000897393,0.000457227,0.000989521,0.000672192,0.001190837,0.000559591,0.000651719,0.000457227,0.000252498,0.000726786,0.00068584,0.000180844,0.000232026,0.00019108,0.000893981,0.000846211,0.001873266,0.000737023,0.00076432,0.0009554,0.001033879,0.00058723,0.001696176,0.002101879,0.00111577,0.000856448,0.000754083,0.001132149,0.002168075,0.002663177,0.002866199,0.002465614,0.002265662,0.002338282,NA
INTL.33-12-DZA-QBTU.A,            Hydroelectricity (quad Btu),0.000846211,0.001235195,0.001617355,0.000795029,0.001760665,0.002180359,0.000842799,0.001675362,0.000617598,0.000897393,0.000457227,0.000989521,0.000672192,0.001190837,0.000559591,0.000651719,0.000457227,0.000252498,0.000726786,0.00068584,0.000180844,0.000232026,0.00019108,0.000893981,0.000846211,0.001873266,0.000737023,0.00076432,0.0009554,0.001033879,0.000586888,0.001695834,0.002101879,0.00111577,0.000856448,0.000491348,0.00073634,0.000189033,0.000395126,0.000518646,0.000169242,4.09457E-05,4.22581E-05,NA
INTL.34-12-DZA-QBTU.A,            Non-hydroelectric renewables (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-07,3.41E-07,0,0,0,0.000262735,0.000395808,0.001979042,0.002268051,0.002347553,0.002296371,0.002224716,0.002296023,NA
INTL.35-12-DZA-QBTU.A,                Geothermal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.36-12-DZA-QBTU.A,"                Solar, tide, wave, fuel cell (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-07,3.41E-07,0,0,0,0.000197904,0.000296856,0.001951745,0.002233929,0.002313432,0.002269074,0.002183771,0.002253765,NA
INTL.117-12-DZA-QBTU.A,                    Tide and wave (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.116-12-DZA-QBTU.A,                    Solar (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-07,3.41E-07,0,0,0,0.000197904,0.000296856,0.001951745,0.002233929,0.002313432,0.002269074,0.002183771,0.002253765,NA
